ID,type,expected result,password,email,telephone,First Name,Last Name,Password Confirm,Privacy Policy,privacy_xpath,error_xpath,url,fn_id,ln_id,email_id,phone_id,pass_id,confirm_id,privacy_name,submit_xpath
TC-004-013,register successful,Your Account Has Been Created!,1111,fvduuaabc12de3@gmail.com,1111,aaaa,aaaa,1111,TRUE,//label[@for='input-agree'],,https://ecommerce-playground.lambdatest.io/index.php?route=account/register,input-firstname,input-lastname,input-email,input-telephone,input-password,input-confirm,agree,//input[@value='Continue']
TC-004-019,register successful,Your Account Has Been Created!,1111,fjafj123f12aa5413@gmail.com,1111,aaaa,aaaa,1111,TRUE,//label[@for='input-agree'],,https://ecommerce-playground.lambdatest.io/index.php?route=account/register,input-firstname,input-lastname,input-email,input-telephone,input-password,input-confirm,agree,//input[@value='Continue']
TC-004-001,password fail,Password must be between 4 and 20 characters!,111,,,,,,,,//input[@id='input-password']/following-sibling::div,https://ecommerce-playground.lambdatest.io/index.php?route=account/register,input-firstname,input-lastname,input-email,input-telephone,input-password,input-confirm,agree,//input[@value='Continue']
TC-004-002,password success,Accepted,1111,,,,,,,,//input[@id='input-password']/following-sibling::div,https://ecommerce-playground.lambdatest.io/index.php?route=account/register,input-firstname,input-lastname,input-email,input-telephone,input-password,input-confirm,agree,//input[@value='Continue']
TC-004-003,password success,Accepted,11111,,,,,,,,//input[@id='input-password']/following-sibling::div,https://ecommerce-playground.lambdatest.io/index.php?route=account/register,input-firstname,input-lastname,input-email,input-telephone,input-password,input-confirm,agree,//input[@value='Continue']
TC-004-004,password success,Accepted,1111111111111111111,,,,,,,,//input[@id='input-password']/following-sibling::div,https://ecommerce-playground.lambdatest.io/index.php?route=account/register,input-firstname,input-lastname,input-email,input-telephone,input-password,input-confirm,agree,//input[@value='Continue']
TC-004-005,password success,Accepted,11111111111111111111,,,,,,,,//input[@id='input-password']/following-sibling::div,https://ecommerce-playground.lambdatest.io/index.php?route=account/register,input-firstname,input-lastname,input-email,input-telephone,input-password,input-confirm,agree,//input[@value='Continue']
TC-004-028,password fail,Password must be between 4 and 20 characters!,111,,,,,,,,//input[@id='input-password']/following-sibling::div,https://ecommerce-playground.lambdatest.io/index.php?route=account/register,input-firstname,input-lastname,input-email,input-telephone,input-password,input-confirm,agree,//input[@value='Continue']
TC-004-006,password fail,Password must be between 4 and 20 characters!,111111111111111111111,,,,,,,,//input[@id='input-password']/following-sibling::div,https://ecommerce-playground.lambdatest.io/index.php?route=account/register,input-firstname,input-lastname,input-email,input-telephone,input-password,input-confirm,agree,//input[@value='Continue']
TC-004-007,email success,Accepted,,user123@test.com,,,,,,,//input[@id='input-email']/following-sibling::div,https://ecommerce-playground.lambdatest.io/index.php?route=account/register,input-firstname,input-lastname,input-email,input-telephone,input-password,input-confirm,agree,//input[@value='Continue']
TC-004-008,email fail 1,Please include an @ in the email address,,usertest.com,,,,,,,//input[@id='input-email']/following-sibling::div,https://ecommerce-playground.lambdatest.io/index.php?route=account/register,input-firstname,input-lastname,input-email,input-telephone,input-password,input-confirm,agree,//input[@value='Continue']
TC-004-009,email fail 2,E-Mail Address does not appear to be valid!,,cxvxcv@com,,,,,,,//input[@id='input-email']/following-sibling::div,https://ecommerce-playground.lambdatest.io/index.php?route=account/register,input-firstname,input-lastname,input-email,input-telephone,input-password,input-confirm,agree,//input[@value='Continue']
TC-004-014,email fail 3,Warning: E-Mail Address is already registered!,,abc01@gmail.com,,,,,,,//input[@id='input-email']/following-sibling::div,https://ecommerce-playground.lambdatest.io/index.php?route=account/register,input-firstname,input-lastname,input-email,input-telephone,input-password,input-confirm,agree,//input[@value='Continue']
TC-004-016,email fail 1,Please include an @ in the email address,,aaaav,,,,,,,//input[@id='input-email']/following-sibling::div,https://ecommerce-playground.lambdatest.io/index.php?route=account/register,input-firstname,input-lastname,input-email,input-telephone,input-password,input-confirm,agree,//input[@value='Continue']
TC-004-020,email fail 3,Warning: E-Mail Address is already registered!,,abc01@gmail.com,,,,,,,//input[@id='input-email']/following-sibling::div,https://ecommerce-playground.lambdatest.io/index.php?route=account/register,input-firstname,input-lastname,input-email,input-telephone,input-password,input-confirm,agree,//input[@value='Continue']
TC-004-021,email fail 1,Please include an @ in the email address,,asdasd,,,,,,,//input[@id='input-email']/following-sibling::div,https://ecommerce-playground.lambdatest.io/index.php?route=account/register,input-firstname,input-lastname,input-email,input-telephone,input-password,input-confirm,agree,//input[@value='Continue']
TC-004-010,telephone success,Accepted,,,987654321,,,,,,//input[@id='input-telephone']/following-sibling::div,https://ecommerce-playground.lambdatest.io/index.php?route=account/register,input-firstname,input-lastname,input-email,input-telephone,input-password,input-confirm,agree,//input[@value='Continue']
TC-004-011,telephone fail,Telephone must be between 3 and 32 characters!,,,12,,,,,,//input[@id='input-telephone']/following-sibling::div,https://ecommerce-playground.lambdatest.io/index.php?route=account/register,input-firstname,input-lastname,input-email,input-telephone,input-password,input-confirm,agree,//input[@value='Continue']
TC-004-027,telephone fail,Telephone must be between 3 and 32 characters!,,,11,,,,,,//input[@id='input-telephone']/following-sibling::div,https://ecommerce-playground.lambdatest.io/index.php?route=account/register,input-firstname,input-lastname,input-email,input-telephone,input-password,input-confirm,agree,//input[@value='Continue']
TC-004-012,missing field,First Name must be between 1 and 32 characters!,,,,,,,,,//input[@id='input-firstname']/following-sibling::div,https://ecommerce-playground.lambdatest.io/index.php?route=account/register,input-firstname,input-lastname,input-email,input-telephone,input-password,input-confirm,agree,//input[@value='Continue']
TC-004-017,missing field 2,E-Mail Address does not appear to be valid!,,,,,,,,,//input[@id='input-email']/following-sibling::div,https://ecommerce-playground.lambdatest.io/index.php?route=account/register,input-firstname,input-lastname,input-email,input-telephone,input-password,input-confirm,agree,//input[@value='Continue']
