FirstName,LastName,Email,Telephone,OrderId,ProductName,ProductCode,Reason,ExpectedResult
,kmkwkm,mt@gmail.com,433,1,fdfd,wddw,Dead On Arrival,First Name must be between 1 and 32 characters!
kn3d,kmkwkm,mt@gmail.com,433,1,fdfd,wddw,Dead On Arrival,Thank you for submitting your return request. Your request has been sent to the relevant department for processing. You will be notified via e-mail as to the status of your request.
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,kmkwkm,mt@gmail.com,433,1,fdfd,wddw,Dead On Arrival,Thank you for submitting your return request. Your request has been sent to the relevant department for processing. You will be notified via e-mail as to the status of your request.
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,kmkwkm,mt@gmail.com,433,1,fdfd,wddw,Dead On Arrival,First Name must be between 1 and 32 characters!
nk,hhhh,mt@gmail.com,12,1,fdfd,wddw,Dead On Arrival,Telephone must be between 3 and 32 characters!
nk,hhhh,mt@gmail.com,123,1,fdfd,wddw,Dead On Arrival,Thank you for submitting your return request. Your request has been sent to the relevant department for processing. You will be notified via e-mail as to the status of your request.
nk,hhhh,mt@gmail.com,99999999999999999999999999999999,1,fdfd,wddw,Dead On Arrival,Thank you for submitting your return request. Your request has been sent to the relevant department for processing. You will be notified via e-mail as to the status of your request.
nk,hhhh,mt@gmail.com,999999999999999999999999999999999,1,fdfd,wddw,Dead On Arrival,Telephone must be between 3 and 32 characters!
nk,hhhh,mt@gmail.com,9999999,fdfd,sd,wddw,Dead On Arrival,Product Name must be greater than 3 and less than 255 characters!
nk,hhhh,mt@gmail.com,9999999,fdfd,sdi,wddw,Dead On Arrival,Thank you for submitting your return request. Your request has been sent to the relevant department for processing. You will be notified via e-mail as to the status of your request.
nk,hhhh,mt@gmail.com,9999999,fdfd,abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789abc1234,wddw,Dead On Arrival,Thank you for submitting your return request. Your request has been sent to the relevant department for processing. You will be notified via e-mail as to the status of your request.
