FirstName,LastName,Address1,City,PostCode,Country,Region/State,Expected1,Expected2,Expected3,Expected4,Expected5,Expected6
,Doe,123 Sample Street,Hanoi,70000,Viet Nam,Ha Noi,First Name must be between 1 and 32 characters!,,,,, 
J,Doe,123 Sample Street,Hanoi,70000,Viet Nam,Ha Noi,Your address has been successfully added,,,,,
Jo,Doe,123 Sample Street,Hanoi,70000,Viet Nam,Ha Noi,Your address has been successfully added,,,,,
JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ,Doe,123 Sample Street,Hanoi,70000,Viet Nam,Ha Noi,Your address has been successfully added,,,,,
JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ,Doe,123 Sample Street,Hanoi,70000,Viet Nam,Ha Noi,Your address has been successfully added,,,,,
JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ,Doe,123 Sample Street,Hanoi,70000,Viet Nam,Ha Noi,First Name must be between 1 and 32 characters!,,,,, 
John,,123 Sample Street,Hanoi,70000,Viet Nam,Ha Noi,Last Name must be between 1 and 32 characters!,,,,, 
John,D,123 Sample Street,Hanoi,70000,Viet Nam,Ha Noi,Your address has been successfully added,,,,,
John,Do,123 Sample Street,Hanoi,70000,Viet Nam,Ha Noi,Your address has been successfully added,,,,,
John,Doeeeeeeeeeeeeeeeeeeeeeeeeeeeee,123 Sample Street,Hanoi,70000,Viet Nam,Ha Noi,Your address has been successfully added,,,,,
John,Doeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,123 Sample Street,Hanoi,70000,Viet Nam,Ha Noi,Your address has been successfully added,,,,,
John,Doeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,123 Sample Street,Hanoi,70000,Viet Nam,Ha Noi,Last Name must be between 1 and 32 characters!,,,,, 
John,Doe,Ne,Hanoi,70000,Viet Nam,Ha Noi,Address must be between 3 and 128 characters!,,,,, 
John,Doe,New,Hanoi,70000,Viet Nam,Ha Noi,Your address has been successfully added,,,,,
John,Doe,Newy,Hanoi,70000,Viet Nam,Ha Noi,Your address has been successfully added,,,,,
John,Doe,Newyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,Hanoi,70000,Viet Nam,Ha Noi,Your address has been successfully added,,,,,
John,Doe,Newyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,Hanoi,70000,Viet Nam,Ha Noi,Your address has been successfully added,,,,,
John,Doe,Newyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,Hanoi,70000,Viet Nam,Ha Noi,Address must be between 3 and 128 characters!,,,,, 
John,Doe,123 Sample Street,H,70000,Viet Nam,Ha Noi,City must be between 2 and 128 characters!,,,,, 
John,Doe,123 Sample Street,HC,70000,Viet Nam,Ha Noi,Your address has been successfully added,,,,,
John,Doe,123 Sample Street,HCM,70000,Viet Nam,Ha Noi,Your address has been successfully added,,,,,
John,Doe,123 Sample Street,HHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHH,70000,Viet Nam,Ha Noi,Your address has been successfully added,,,,,
John,Doe,123 Sample Street,HHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHH,70000,Viet Nam,Ha Noi,Your address has been successfully added,,,,,
John,Doe,123 Sample Street,HHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHH,70000,Viet Nam,Ha Noi,City must be between 2 and 128 characters!,,,,, 
John,Doe,123 Sample Street,Hanoi,1,Viet Nam,Ha Noi,Postcode must be between 2 and 10 characters!,,,,, 
John,Doe,123 Sample Street,Hanoi,11,Viet Nam,Ha Noi,Your address has been successfully added,,,,,
John,Doe,123 Sample Street,Hanoi,111,Viet Nam,Ha Noi,Your address has been successfully added,,,,,
John,Doe,123 Sample Street,Hanoi,111111111,Viet Nam,Ha Noi,Your address has been successfully added,,,,,
John,Doe,123 Sample Street,Hanoi,1111111111,Viet Nam,Ha Noi,Your address has been successfully added,,,,,
John,Doe,123 Sample Street,Hanoi,11111111111,Viet Nam,Ha Noi,Postcode must be between 2 and 10 characters!,,,,, 
John,Doe,123 Main St,Hanoi,10000,,,Please select a country!,,,,, 
John,Doe,123 Main St,Hanoi,10000,Viet Nam,,Please select a region / state!,,,,, 
, ,123 Sample Street,Hanoi,70000,Viet Nam,Ha Noi,First Name must be between 1 and 32 characters!,Last Name must be between 1 and 32 characters!,,,,
, Doe,,Hanoi,70000,Viet Nam,Ha Noi,First Name must be between 1 and 32 characters!,Address must be between 3 and 128 characters!,,,,
, Doe,123 Sample Street,,70000,Viet Nam,Ha Noi,First Name must be between 1 and 32 characters!,City must be between 2 and 128 characters!,,,,
, Doe,123 Sample Street,Hanoi,,Viet Nam,Ha Noi,First Name must be between 1 and 32 characters!,Postcode must be between 2 and 10 characters!,,,,
, Doe,123 Sample Street,Hanoi,70000,,Ha Noi,First Name must be between 1 and 32 characters!,Please select a country!,,,,
, Doe,123 Sample Street,Hanoi,70000,Viet Nam,,First Name must be between 1 and 32 characters!,Please select a region / state!,,,,
John,, ,Hanoi,70000,Viet Nam,Ha Noi,Last Name must be between 1 and 32 characters!,Address must be between 3 and 128 characters!,,,,
John,,123 Sample Street,,70000,Viet Nam,Ha Noi,Last Name must be between 1 and 32 characters!,City must be between 2 and 128 characters!,,,,
John,,123 Sample Street,Hanoi,,Viet Nam,Ha Noi,Last Name must be between 1 and 32 characters!,Postcode must be between 2 and 10 characters!,,,,
John,,123 Sample Street,Hanoi,70000,,Ha Noi,Last Name must be between 1 and 32 characters!,Please select a country!,,,,
John,,123 Sample Street,Hanoi,70000,Viet Nam,,Last Name must be between 1 and 32 characters!,Please select a region / state!,,,,
John,Doe,, ,70000,Viet Nam,Ha Noi,Address must be between 3 and 128 characters!,City must be between 2 and 128 characters!,,,,
