ID,email,password,type,expected result
TC-003-001,huydiia2@gmail.com,1111,success,The log out button appears.
TC-003-006,abc01@gmail.com,1111,success,Log out button
TC-003-012,abc02@gmail.com,1111,success,Log out button
TC-003-002,2h1nobf8@gmail.com,2222,fail,Warning: No match for E-Mail Address and/or Password.
TC-003-003,sy0yt2wp@gmail.com,33333,fail,Warning: No match for E-Mail Address and/or Password.
TC-003-005,3lg0gr26@gmail.com,,fail,Warning: No match for E-Mail Address and/or Password.
TC-003-007,5no6ix58@gmail.com,345345,fail,Warning: No match for E-Mail Address and/or Password.
TC-003-008,31gct9vp@gmail.com,olifhjofg,fail,Warning: No match for E-Mail Address and/or Password.
TC-003-013,4y1l8ati@gmail.com,345345,fail,Warning: No match for E-Mail Address and/or Password.
TC-003-014,df4ucr21@gmail.com,grtgtht,fail,Warning: No match for E-Mail Address and/or Password.
TC-003-015,yzpb9kdd@gmail.com,,fail,Warning: No match for E-Mail Address and/or Password.
TC-003-009,abc08@gmail.com,lkjlkj,locked,Warning: Your account has exceeded allowed number of login attempts. Please try again in 1 hour.
TC-003-011,vbifuvb@gmail.com,fdgdfg,locked,Warning: Your account has exceeded allowed number of login attempts. Please try again in 1 hour.
