FirstName,LastName,Email,Telephone,Expected1,Expected2
,,jd92k3wq@example.com,012345678,First Name must be between 1 and 32 characters!,Last Name must be between 1 and 32 characters!
AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,jd92k3wq@example.com,012345678,First Name must be between 1 and 32 characters!,Last Name must be between 1 and 32 characters!
,Doe,,012345678,First Name must be between 1 and 32 characters!,E-Mail Address does not appear to be valid!
,Doe,jd92k3wq@example.com,111111111111111111111111111111111,First Name must be between 1 and 32 characters!,Telephone must be between 3 and 32 characters!
,Doe,jd92k3wq@example.com,1,First Name must be between 1 and 32 characters!,Telephone must be between 3 and 32 characters!
John,,,012345678,Last Name must be between 1 and 32 characters!,E-Mail Address does not appear to be valid!
John,,jd92k3wq@example.com,111111111111111111111111111111111,Last Name must be between 1 and 32 characters!,Telephone must be between 3 and 32 characters!
John,,jd92k3wq@example.com,1,Last Name must be between 1 and 32 characters!,Telephone must be between 3 and 32 characters!
John,Doe,,111111111111111111111111111111111,E-Mail Address does not appear to be valid!,Telephone must be between 3 and 32 characters!
John,Doe,,1,E-Mail Address does not appear to be valid!,Telephone must be between 3 and 32 characters!
