TestCaseID,FirstName,LastName,Email,Telephone,OrderId,ProductName,ProductCode,ExpectedResult
TC-008-001,,kmkwkm,mt@gmail.com,433,1,fdfd,wddw,First Name must be between 1 and 32 characters!
TC-008-002,kn3d,kmkwkm,mt@gmail.com,433,1,fdfd,wddw,Your return request has been submitted successfully!.
TC-008-003,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,kmkwkm,mt@gmail.com,433,1,fdfd,wddw,Thank you for submitting your return request. Your request has been sent to the relevant department for processing. You will be notified via e-mail as to the status of your request.
TC-008-004,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,kmkwkm,mt@gmail.com,433,1,fdfd,wddw,First Name must be between 1 and 32 characters!
TC-008-005,nk,hhhh,mt@gmail.com,12,1,fdfd,wddw,Telephone must be between 3 and 32 characters!
TC-008-006,nk,hhhh,mt@gmail.com,123,1,fdfd,wddw,Thank you for submitting your return request. Your request has been sent to the relevant department for processing. You will be notified via e-mail as to the status of your request.
TC-008-007,nk,hhhh,mt@gmail.com,99999999999999999999999999999999,1,fdfd,wddw,Thank you for submitting your return request. Your request has been sent to the relevant department for processing. You will be notified via e-mail as to the status of your request.
TC-008-008,nk,hhhh,mt@gmail.com,999999999999999999999999999999999,1,fdfd,wddw,Telephone must be between 3 and 32 characters!
TC-008-009,nk,hhhh,mt@gmail.com,9999999,fdfd,sd,wddw,Product Name must be greater than 3 and less than 255 characters!
TC-008-010,nk,hhhh,mt@gmail.com,9999999,fdfd,sdi,wddw,Thank you for submitting your return request. Your request has been sent to the relevant department for processing. You will be notified via e-mail as to the status of your request.
TC-008-011,nk,hhhh,mt@gmail.com,9999999,fdfd,abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789abc1234,wddw,Thank you for submitting your return request. Your request has been sent to the relevant department for processing. You will be notified via e-mail as to the status of your request.
TC-008-012,nk,hhhh,mt@gmail.com,9999999,fdfd,abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789abc12345,wddw,Product Name must be greater than 3 and less than 255 characters!
TC-008-013,nkn,nhhh,mt@gmail.com,123234,fdfd,332232,wd,Thank you for submitting your return request. Your request has been sent to the relevant department for processing. You will be notified via e-mail as to the status of your request.
TC-008-014,ntht,kkkk,vm@gmail.com,4554655,12,444444,abc,Product Name must be greater than 3 and less than 255 characters!
TC-008-015,ntht,dffddf,mt@gmail.com,4554655,12,444444,abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789a1,Thank you for submitting your return request. Your request has been sent to the relevant department for processing. You will be notified via e-mail as to the status of your request.
TC-008-016,ntht,dffddf,mt@gmail.com,4554655,223,refdf,abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789a12,Product Name must be greater than 3 and less than 255 characters!
TC-008-017,ntht,,mt@gmail.com,3233,12,refdf,12,Last Name must be between 1 and 32 characters!
TC-008-018,ntht,,mt@gmail.com,3233,12,refdf,12,Last Name must be between 1 and 32 characters!
TC-008-019,ntht,h,mt@gmail.com,3233,12,refdf,32,Thank you for submitting your return request. Your request has been sent to the relevant department for processing. You will be notified via e-mail as to the status of your request.
TC-008-020,ntht,999999999999999999999999999999999999999999999999,mt@gmail.com,3233,12,refdf,32,Last Name must be between 1 and 32 characters!
TC-008-021,mk,nkn,mt@gmail.com,2332,12,refdf,32,Thank you for submitting your return request. Your request has been sent to the relevant department for processing. You will be notified via e-mail as to the status of your request.
TC-008-022,mk,nkn,mt,2332,12,refdf,32,E-Mail Address does not appear to be valid!
TC-008-024,,nkn,mt,2332,12,refdf,32,First Name must be between 1 and 32 characters!
TC-008-025,nk,nkn,mt,12,12,refdf,32,Telephone must be between 3 and 32 characters!
TC-008-026,nk,nkn,mt,2332,,refdf,32,Order ID required!
TC-008-027,nk,nkn,mt,12,1221,,232,Product Name must be greater than 3 and less than 255 characters!
TC-008-027,nk,nkn,mt,12,1221,kjl,,Product Model must be greater than 3 and less than 64 characters!
TC-008-028,nk,nkn,mt,12,1221,kjl,12,You must select a return product reason!
TC-008-029,nk,,mt,12,1221,kjl,12332,Last Name must be between 1 and 32 characters!
TC-008-030,mk,nkn,mt@gmail.com,2332,12,refdf,32,Thank you for submitting your return request. Your request has been sent to the relevant department for processing. You will be notified via e-mail as to the status of your request.
TC-008-031,mk,,mt,2332,12,refdf,32,Last Name must be between 1 and 32 characters!
TC-008-032,mk,nkn,mt@gmail.com,2332,12,refdf,,Product Model must be greater than 3 and less than 64 characters!
TC-008-033,mk,nkn,mt@gmail.com,2332,12,refdf,32,You must select a return product reason!
TC-008-034,mk,nkn,mt@gmail.com,2332,12,refdf,32,Thank you for submitting your return request. Your request has been sent to the relevant department for processing. You will be notified via e-mail as to the status of your request.
TC-008-035,,kmkwkm,mt@gmail.com,433,1,fdfd,wddw,First Name must be between 1 and 32 characters!
