BaseURL,LoginURL,EmailField,PasswordField,SubmitLogin,Email,Password,AddressBookURL,FirstName,LastName,Address1,City,PostCode,Country,Region/State,Expected1,Expected2
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khangnha7@gmail.com,123456,index.php?route=account/address,, ,123 Sample Street,Hanoi,70000,Viet Nam,Ha Noi,First Name must be between 1 and 32 characters!,Last Name must be between 1 and 32 characters!
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khangnha7@gmail.com,123456,index.php?route=account/address,,Doe,,Hanoi,70000,Viet Nam,Ha Noi,First Name must be between 1 and 32 characters!,Address must be between 3 and 128 characters!
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khangnha7@gmail.com,123456,index.php?route=account/address,,Doe,123 Sample Street,,70000,Viet Nam,Ha Noi,First Name must be between 1 and 32 characters!,City must be between 2 and 128 characters!
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khangnha7@gmail.com,123456,index.php?route=account/address,,Doe,123 Sample Street,Hanoi,,Viet Nam,Ha Noi,First Name must be between 1 and 32 characters!,Postcode must be between 2 and 10 characters!
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khangnha7@gmail.com,123456,index.php?route=account/address,,Doe,123 Sample Street,Hanoi,70000,,Ha Noi,First Name must be between 1 and 32 characters!,Please select a country!
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khangnha7@gmail.com,123456,index.php?route=account/address,,Doe,123 Sample Street,Hanoi,70000,Viet Nam,,First Name must be between 1 and 32 characters!,Please select a region / state!
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khangnha7@gmail.com,123456,index.php?route=account/address,John,, ,Hanoi,70000,Viet Nam,Ha Noi,Last Name must be between 1 and 32 characters!,Address must be between 3 and 128 characters!
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khangnha7@gmail.com,123456,index.php?route=account/address,John,,123 Sample Street,,70000,Viet Nam,Ha Noi,Last Name must be between 1 and 32 characters!,City must be between 2 and 128 characters!
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khangnha7@gmail.com,123456,index.php?route=account/address,John,,123 Sample Street,Hanoi,,Viet Nam,Ha Noi,Last Name must be between 1 and 32 characters!,Postcode must be between 2 and 10 characters!
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khangnha7@gmail.com,123456,index.php?route=account/address,John,,123 Sample Street,Hanoi,70000,,Ha Noi,Last Name must be between 1 and 32 characters!,Please select a country!
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khangnha7@gmail.com,123456,index.php?route=account/address,John,,123 Sample Street,Hanoi,70000,Viet Nam,,Last Name must be between 1 and 32 characters!,Please select a region / state!
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khangnha7@gmail.com,123456,index.php?route=account/address,John,Doe,, ,70000,Viet Nam,Ha Noi,Address must be between 3 and 128 characters!,City must be between 2 and 128 characters!
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khangnha7@gmail.com,123456,index.php?route=account/address,John,Doe,,Hanoi,,Viet Nam,Ha Noi,Address must be between 3 and 128 characters!,Postcode must be between 2 and 10 characters!
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khangnha7@gmail.com,123456,index.php?route=account/address,John,Doe,,Hanoi,70000,,Ha Noi,Address must be between 3 and 128 characters!,Please select a country!
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khangnha7@gmail.com,123456,index.php?route=account/address,John,Doe,,Hanoi,70000,Viet Nam,,Address must be between 3 and 128 characters!,Please select a region / state!
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khangnha7@gmail.com,123456,index.php?route=account/address,John,Doe,123 Sample Street,, ,Viet Nam,Ha Noi,City must be between 2 and 128 characters!,Postcode must be between 2 and 10 characters!
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khangnha7@gmail.com,123456,index.php?route=account/address,John,Doe,123 Sample Street,,70000,,Ha Noi,City must be between 2 and 128 characters!,Please select a country!
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khangnha7@gmail.com,123456,index.php?route=account/address,John,Doe,123 Sample Street,,70000,Viet Nam,,City must be between 2 and 128 characters!,Please select a region / state!
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khangnha7@gmail.com,123456,index.php?route=account/address,John,Doe,123 Sample Street,Hanoi,, ,Ha Noi,Postcode must be between 2 and 10 characters!,Please select a country!
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khangnha7@gmail.com,123456,index.php?route=account/address,John,Doe,123 Sample Street,Hanoi,,Viet Nam,,Postcode must be between 2 and 10 characters!,Please select a region / state!
