ID,type,expected result,password,email,telephone,First Name,Last Name,Password Confirm,Privacy Policy,privacy_xpath,error_xpath,url,fn_id,ln_id,email_id,phone_id,pass_id,confirm_id,privacy_name,submit_xpath
TC-004-001,password fail,Password must be between 4 and 20 characters!,111,,,,,,,//label[@for='input-agree'],//input[@id='input-password']/following-sibling::div,https://ecommerce-playground.lambdatest.io/index.php?route=account/register,input-firstname,input-lastname,input-email,input-telephone,input-password,input-confirm,agree,//input[@value='Continue']
TC-004-002,password success,Accepted,1111,,,,,,,//label[@for='input-agree'],//input[@id='input-password']/following-sibling::div,https://ecommerce-playground.lambdatest.io/index.php?route=account/register,input-firstname,input-lastname,input-email,input-telephone,input-password,input-confirm,agree,//input[@value='Continue']
TC-004-003,password success,Accepted,11111,,,,,,,//label[@for='input-agree'],//input[@id='input-password']/following-sibling::div,https://ecommerce-playground.lambdatest.io/index.php?route=account/register,input-firstname,input-lastname,input-email,input-telephone,input-password,input-confirm,agree,//input[@value='Continue']
TC-004-004,password success,Accepted,aaaaaaaaaaaaaaaaaaa,,,,,,,//label[@for='input-agree'],//input[@id='input-password']/following-sibling::div,https://ecommerce-playground.lambdatest.io/index.php?route=account/register,input-firstname,input-lastname,input-email,input-telephone,input-password,input-confirm,agree,//input[@value='Continue']
TC-004-005,password success,Accepted,aaaaaaaaaaaaaaaaaaaa,,,,,,,//label[@for='input-agree'],//input[@id='input-password']/following-sibling::div,https://ecommerce-playground.lambdatest.io/index.php?route=account/register,input-firstname,input-lastname,input-email,input-telephone,input-password,input-confirm,agree,//input[@value='Continue']
TC-004-006,password fail,Password must be between 4 and 20 characters!,aaaaaaaaaaaaaaaaaaaaa,,,,,,,//label[@for='input-agree'],//input[@id='input-password']/following-sibling::div,https://ecommerce-playground.lambdatest.io/index.php?route=account/register,input-firstname,input-lastname,input-email,input-telephone,input-password,input-confirm,agree,//input[@value='Continue']
TC-004-007,email success,Accepted,,user123@test.com,,,,,,//label[@for='input-agree'],//input[@id='input-email']/following-sibling::div,https://ecommerce-playground.lambdatest.io/index.php?route=account/register,input-firstname,input-lastname,input-email,input-telephone,input-password,input-confirm,agree,//input[@value='Continue']
TC-004-008,email fail 1,Please include an @ in the email address,,usertest.com,,,,,,//label[@for='input-agree'],HTML5_CHECK,https://ecommerce-playground.lambdatest.io/index.php?route=account/register,input-firstname,input-lastname,input-email,input-telephone,input-password,input-confirm,agree,//input[@value='Continue']
TC-004-009,email fail 2,E-Mail Address does not appear to be valid!,,cxvxcv@com,,,,,,//label[@for='input-agree'],//input[@id='input-email']/following-sibling::div,https://ecommerce-playground.lambdatest.io/index.php?route=account/register,input-firstname,input-lastname,input-email,input-telephone,input-password,input-confirm,agree,//input[@value='Continue']
TC-004-010,telephone success,Accepted,,,987654321,,,,,//label[@for='input-agree'],//input[@id='input-telephone']/following-sibling::div,https://ecommerce-playground.lambdatest.io/index.php?route=account/register,input-firstname,input-lastname,input-email,input-telephone,input-password,input-confirm,agree,//input[@value='Continue']
