TestCaseID,BaseURL,LoginURL,EmailField,PasswordField,SubmitLogin,LoginEmail,LoginPassword,ReturnFormURL,FirstNameField,LastNameField,EmailInputField,TelephoneField,OrderIdField,ProductNameField,ProductCodeField,ReturnReasonField,FirstName,LastName,Email,Telephone,OrderId,ProductName,ProductCode,SelectReturnReason,Expected
TC-008-001,https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khang@gmail.com,watdiw-boRnij-0cypsi,index.php?route=account/return/add,#input-firstname,#input-lastname,#input-email,#input-telephone,#input-order-id,#input-product,#input-model,input[name='return_reason_id'],,,mt@gmail.com,433,1,fdfd,wddw,yes,First Name must be between 1 and 32 characters!
TC-008-002,https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khang@gmail.com,watdiw-boRnij-0cypsi,index.php?route=account/return/add,#input-firstname,#input-lastname,#input-email,#input-telephone,#input-order-id,#input-product,#input-model,input[name='return_reason_id'],kn3d,kmkwkm,mt@gmail.com,433,1,fdfd,wddw,yes,Thank you for submitting your return request
TC-008-003,https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khang@gmail.com,watdiw-boRnij-0cypsi,index.php?route=account/return/add,#input-firstname,#input-lastname,#input-email,#input-telephone,#input-order-id,#input-product,#input-model,input[name='return_reason_id'],aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,kmkwkm,mt@gmail.com,433,1,fdfd,wddw,yes,Thank you for submitting your return request
TC-008-004,https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khang@gmail.com,watdiw-boRnij-0cypsi,index.php?route=account/return/add,#input-firstname,#input-lastname,#input-email,#input-telephone,#input-order-id,#input-product,#input-model,input[name='return_reason_id'],aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,kmkwkm,mt@gmail.com,433,1,fdfd,wddw,yes,First Name must be between 1 and 32 characters!
TC-008-005,https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khang@gmail.com,watdiw-boRnij-0cypsi,index.php?route=account/return/add,#input-firstname,#input-lastname,#input-email,#input-telephone,#input-order-id,#input-product,#input-model,input[name='return_reason_id'],nk,hhhh,mt@gmail.com,12,1,fdfd,wddw,yes,Telephone must be between 3 and 32 characters!
TC-008-006,https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khang@gmail.com,watdiw-boRnij-0cypsi,index.php?route=account/return/add,#input-firstname,#input-lastname,#input-email,#input-telephone,#input-order-id,#input-product,#input-model,input[name='return_reason_id'],nk,hhhh,mt@gmail.com,123,1,fdfd,wddw,yes,Thank you for submitting your return request
TC-008-007,https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khang@gmail.com,watdiw-boRnij-0cypsi,index.php?route=account/return/add,#input-firstname,#input-lastname,#input-email,#input-telephone,#input-order-id,#input-product,#input-model,input[name='return_reason_id'],nk,hhhh,mt@gmail.com,99999999999999999999999999999999,1,fdfd,wddw,yes,Thank you for submitting your return request
TC-008-008,https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khang@gmail.com,watdiw-boRnij-0cypsi,index.php?route=account/return/add,#input-firstname,#input-lastname,#input-email,#input-telephone,#input-order-id,#input-product,#input-model,input[name='return_reason_id'],nk,hhhh,mt@gmail.com,999999999999999999999999999999999,1,fdfd,wddw,yes,Telephone must be between 3 and 32 characters!
TC-008-009,https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khang@gmail.com,watdiw-boRnij-0cypsi,index.php?route=account/return/add,#input-firstname,#input-lastname,#input-email,#input-telephone,#input-order-id,#input-product,#input-model,input[name='return_reason_id'],nk,hhhh,mt@gmail.com,9999999,fdfd,sd,wddw,yes,Product Name must be greater than 3 and less than 255 characters!
TC-008-010,https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khang@gmail.com,watdiw-boRnij-0cypsi,index.php?route=account/return/add,#input-firstname,#input-lastname,#input-email,#input-telephone,#input-order-id,#input-product,#input-model,input[name='return_reason_id'],nk,hhhh,mt@gmail.com,9999999,fdfd,sdi,wddw,yes,Thank you for submitting your return request
TC-008-011,https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khang@gmail.com,watdiw-boRnij-0cypsi,index.php?route=account/return/add,#input-firstname,#input-lastname,#input-email,#input-telephone,#input-order-id,#input-product,#input-model,input[name='return_reason_id'],nk,hhhh,mt@gmail.com,9999999,fdfd,abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789abc1234,wddw,yes,Thank you for submitting your return request
TC-008-012,https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khang@gmail.com,watdiw-boRnij-0cypsi,index.php?route=account/return/add,#input-firstname,#input-lastname,#input-email,#input-telephone,#input-order-id,#input-product,#input-model,input[name='return_reason_id'],nk,hhhh,mt@gmail.com,9999999,fdfd,abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789abc12345,wddw,yes,Product Name must be greater than 3 and less than 255 characters!
TC-008-013,https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khang@gmail.com,watdiw-boRnij-0cypsi,index.php?route=account/return/add,#input-firstname,#input-lastname,#input-email,#input-telephone,#input-order-id,#input-product,#input-model,input[name='return_reason_id'],nkn,nhhh,mt@gmail.com,123234,fdfd,332232,wd,yes,Thank you for submitting your return request
TC-008-014,https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khang@gmail.com,watdiw-boRnij-0cypsi,index.php?route=account/return/add,#input-firstname,#input-lastname,#input-email,#input-telephone,#input-order-id,#input-product,#input-model,input[name='return_reason_id'],ntht,kkkk,vm@gmail.com,4554655,12,444444,abc,yes,Product Model must be greater than 3 and less than 64 characters!
TC-008-015,https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khang@gmail.com,watdiw-boRnij-0cypsi,index.php?route=account/return/add,#input-firstname,#input-lastname,#input-email,#input-telephone,#input-order-id,#input-product,#input-model,input[name='return_reason_id'],ntht,dffddf,mt@gmail.com,4554655,12,444444,abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789a1,yes,Thank you for submitting your return request
TC-008-016,https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khang@gmail.com,watdiw-boRnij-0cypsi,index.php?route=account/return/add,#input-firstname,#input-lastname,#input-email,#input-telephone,#input-order-id,#input-product,#input-model,input[name='return_reason_id'],ntht,dffddf,mt@gmail.com,4554655,223,refdf,abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789a12,yes,Product Model must be greater than 3 and less than 64 characters!
TC-008-017,https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khang@gmail.com,watdiw-boRnij-0cypsi,index.php?route=account/return/add,#input-firstname,#input-lastname,#input-email,#input-telephone,#input-order-id,#input-product,#input-model,input[name='return_reason_id'],ntht,,mt@gmail.com,3233,12,refdf,12,yes,Last Name must be between 1 and 32 characters!
TC-008-018,https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khang@gmail.com,watdiw-boRnij-0cypsi,index.php?route=account/return/add,#input-firstname,#input-lastname,#input-email,#input-telephone,#input-order-id,#input-product,#input-model,input[name='return_reason_id'],ntht,,mt@gmail.com,3233,12,refdf,12,yes,Last Name must be between 1 and 32 characters!
TC-008-019,https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khang@gmail.com,watdiw-boRnij-0cypsi,index.php?route=account/return/add,#input-firstname,#input-lastname,#input-email,#input-telephone,#input-order-id,#input-product,#input-model,input[name='return_reason_id'],ntht,h,mt@gmail.com,3233,12,refdf,32,yes,Thank you for submitting your return request
TC-008-020,https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khang@gmail.com,watdiw-boRnij-0cypsi,index.php?route=account/return/add,#input-firstname,#input-lastname,#input-email,#input-telephone,#input-order-id,#input-product,#input-model,input[name='return_reason_id'],ntht,999999999999999999999999999999999999999999999999,mt@gmail.com,3233,12,refdf,32,yes,Last Name must be between 1 and 32 characters!
TC-008-021,https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khang@gmail.com,watdiw-boRnij-0cypsi,index.php?route=account/return/add,#input-firstname,#input-lastname,#input-email,#input-telephone,#input-order-id,#input-product,#input-model,input[name='return_reason_id'],mk,nkn,mt@gmail.com,2332,12,refdf,32,yes,Thank you for submitting your return request
TC-008-022,https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khang@gmail.com,watdiw-boRnij-0cypsi,index.php?route=account/return/add,#input-firstname,#input-lastname,#input-email,#input-telephone,#input-order-id,#input-product,#input-model,input[name='return_reason_id'],mk,nkn,mt,2332,12,refdf,32,yes,E-Mail Address does not appear to be valid!
TC-008-024,https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khang@gmail.com,watdiw-boRnij-0cypsi,index.php?route=account/return/add,#input-firstname,#input-lastname,#input-email,#input-telephone,#input-order-id,#input-product,#input-model,input[name='return_reason_id'],,nkn,mt,2332,12,refdf,32,yes,First Name must be between 1 and 32 characters!
TC-008-025,https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khang@gmail.com,watdiw-boRnij-0cypsi,index.php?route=account/return/add,#input-firstname,#input-lastname,#input-email,#input-telephone,#input-order-id,#input-product,#input-model,input[name='return_reason_id'],nk,nkn,mt,12,12,refdf,32,yes,Telephone must be between 3 and 32 characters!
TC-008-026,https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khang@gmail.com,watdiw-boRnij-0cypsi,index.php?route=account/return/add,#input-firstname,#input-lastname,#input-email,#input-telephone,#input-order-id,#input-product,#input-model,input[name='return_reason_id'],nk,nkn,mt,2332,,refdf,32,yes,Order ID required!
TC-008-027-A,https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khang@gmail.com,watdiw-boRnij-0cypsi,index.php?route=account/return/add,#input-firstname,#input-lastname,#input-email,#input-telephone,#input-order-id,#input-product,#input-model,input[name='return_reason_id'],nk,nkn,mt,12,1221,,232,yes,Product Name must be greater than 3 and less than 255 characters!
TC-008-027-B,https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khang@gmail.com,watdiw-boRnij-0cypsi,index.php?route=account/return/add,#input-firstname,#input-lastname,#input-email,#input-telephone,#input-order-id,#input-product,#input-model,input[name='return_reason_id'],nk,nkn,mt,12,1221,kjl,,yes,Product Model must be greater than 3 and less than 64 characters!
